	Nice Hotel...Great Location	Stayed here for my 40th B-Day. Got Studio King Suite for great rate. Very nice and big room, hardwood floors and balcony. Comfortable bed and great shower pressure. 2 elevators in hotel, one was big and the other was barely enough for 2 people with luggage. Bellman and Front desk staff were great and helpfull. Food, Starbucks, train, Whole Foods, Central Park all within steps of hotel. Overall this is great hotel and plan on staying here again in the future.
Nov 9 2009	great hotel great service!	We stayed one night to celebrate a special birthday. We were surprised by an upgrade to a penthouse suite due to a cancellation! The suite was amazing! Clean, very spacious, nice amentities. Everything we could need and if not, the staff was always willing to help with anything you would want or need. The location was awesome, across the street from Central Park and Time Warner Bldg.The staff at 6 Columbus was young, attentive, courteous, friendly,more than helpful, and very professional. The staff at the hotel made our visit better than expected and we will definately return.We didn't try the hotel restaurant but did have room service-continental breakfast and it was on time, and very satisfying. Great place to start and end your visit in NYC.There is a store right at the corner if you forgot anything or want cold drinks/snacks/etc.
Nov 1 2009 	really nice hotel	i stayed here for one night. we haggled the price for the room and he put it down by about 60$ . the hotel room is lovely. we got a king room.really clean and big.. loads of room. big bathroom with bath. very comfortable bed. tv ipod dock wardrobe. would recommend this hotel. nice and quiet. reception wer really nice. its a small hotel but conteporary design! but great room.we had breakfast the next morning in the restaurant and was really nice. great location
Oct 21 2009 	Friendly staff and great location	While the contemporary-styled standard rooms here are small and lack the chairs, desk and dressers one might expect, the hotel makes up for it with a perfect location for Lincoln Center, the theater district and Central Park. From the smiling and talkative doorman to the speedy check in and check out receptionist to the friendly and capable housekeeper, the staff were all way above average.
Oct 14 2009 	Awesome!	Great Hotel, very nice employees, with a modern 50's - 60's design and next to Central Park.For a first time in NY it's the best place to stay, Uptown.
Oct 12 2009 	Perfect New York hotel	We booked this hotel on quikbook.com at an unbelievable rate of $270/night, 2 or 3 nights before our arrival. Everything else we looked at was over $300. And this turned out to be the best place we've ever stayed in in New York. Our room was called a Pod Room, which means there is a bedroom and bathroom. No seating area and no desk! But we're never in the room anyway, so it was perfect. As you can see by the many photos here, the rooms are clean, stylish, modern. We loved that there is a Starbucks right next door, and the Columbus Circle subway station, a major subway stop with many intersecting lines, is right across the street! It's across the street from the Time Warner Center for high-end shopping. All this, plus the low rate, adds up to a perfect New York hotel.
Oct 8 2009 	Great hotel- needed desk in room and the breakfast options can be improved.	Great Location, beautiful room, however it needed a desk to work on.The breakfast is served in the Japanese restaurant and was not at the standard that I expected.
Oct 6 2009 	Beware of their booking system!	I recently stayed in New York and had originally booked this hotel going by some of the reviews on here, but still a bit sceptical about the room size. This was a personal trip, but I was hoping to use the hotel and add it to my list for accommodating my business clients and staff. Anyway, about a week before my stay I found a much better deal so decided to cancel the booking. I rang the hotel from the airport on way to another trip and everything was sorted (or I so I thought..).I got back after my stay to find an email thanking me for my stay, and asking me to fill in a questionnaire! I checked my credit card and sure enough I've been charged $290 for the first night. So I email the hotel was told blankly that I would not be refunded because I didn't keep the cancellation number (who the hell keeps these anyway). I expected the hotel to send me an email confirming my cancellation but nothing arrived. Like I said I was at the airport and wouldn't be able to check until I returned.So if you have to stay there be careful when making your booking. Who knows what the dodgy booking system might do!Whilst in NY I called into the hotel after reading about the sushi restaurant, obviously before I found that I'd been ripped off. It was very overpriced and there is a much nicer sushi bar a few doors away. The hotel is not actually on Columbus Circle at all, but a side street, and the view is of the back of a high-rise shopping centre. And it's more than a walk to Time Square. There's much better to be had in NY and in the other hotel I had a room on the 37th floor with a view of the Empire State Building for less money.
Sep 21 2009 	Great location contemporary interior design	Me and my boyfriend have stayed in a standard queen room for two nights. Rooms were well decorated in a contemporary minimalist style with great artwork on the walls. The size of the room is not big, but standard for NY. Room itself was very clean, designer toiletries in the bathroom. Pity they didn't have a trash can in the room, only in bathroom. I wish they could improve on the lighting, it was a bit dark. We found location very convenient, right next to subway and huge shopping center with Whole Foods, where we got our breakfast. There was a sushi restaurant downstairs which looked very good and very busy every night. Cabs were easy to catch right next to the hotel. Staff was very polite and helpful, as well as good looking. Overall, we enjoyed our stay.
Sep 8 2009 	Good Hotel - Extremely Friendly Staff	This is a good hotel in a great location with extremely friendly and helpful staff. I wouldn't t think that would make a difference but it does. The hotel staff definitely make this place worth a try.
Sep 7 2009 	Good hotel but.....	My husband booked this hotel in Jan 09 for my 50th birthday in Aug, he booked a queen superior &amp; also put on the booking form that it was for a &quot;special birthday&quot; and could we have a room with a nice view. When we arrived we were allocated room 79-it was the SMALLEST room I have even seen, and looking out of the very small window the only view was of a very large white soil pipe running down the middle of the window, when I challenged the porter as to what grade of room it was, he said it was a &quot;pod&quot; room, we explained that we had booked a queen superior he suddenly changed his mind and said yes it was a queen superior! We did get moved to a better room after complaining to the front desk (still no nice view and certainly no up grade, as lots of other people seemed to get in the reviews) In the 4 days we were there only 1 of the 2 elevators worked &amp; we were on the 7th floor. Apart from the above the hotel is in a great location and was clean &amp; tidy. We felt the hotel was all style &amp; no substance, it all looks very classy on the web site.
